Item Name,Selling Price (Customer)
REMOTE SAMSUNG PLANE,550
REMOTE CARRIER,600
REMOTE ONIDA,550
REMOTE VOLTAS LOCAL,450
REMOTE LLOYD,600
IDU MOTOR PANASONIC 30 WAAT,2000
VOLTAS STABLISER 4KVA,3600
CAN GAS R 32 REFTRON,800
REMOTE HITACHI DISPLAY,700
CAPACITOR 40+10 UF,260
ROHAN DELHI PCB,
L G B1 PCB FOR AIR COND,1500
L G 903 PCB FOR AIR COND,1500
L G 906 PCB FOR AIR COND,1250
L G DC NON INVERTER PCB FOR AIR COND,2000
L G DC INVERTER PCB FOR AIR COND,2100
L G DC INVERTER WHITE PCB FOR AIR COND,2000
SAMSUNG DC NON INVERTER PCB FOR AIR COND,2000
SAMSUNG AC NON INVERTER PCB FOR AIR COND,1500
SAMSUNG DC INVERTER PCB FOR AIR COND,2000
SAMSUNG DC NON INVERTER PCB FOR AIR COND,1600
VOLTAS GRJ 554 PCB FOR AIR COND,1500
VOLTAS GRJ 519 PCB FOR AIR COND,1500
 FOR AIR CONDVOLTAS TOP BORD INVERTER PCB,2100
VOLTAS DC MAGNETT INVERTER PCB FOR AIR COND,2500
VOLTAS AC MAGNETT PCB FOR AIR COND,2300
C TYPE PCB FOR AIR COND,1300
GODREJ/IFB AC PCB FOR AIR COND,1800
NEPOLEON PCB FOR AIR COND,1800
P N DC 88 PCB FOR AIR COND,2000
P N DC LED PCB FOR AIR COND,2000
DAIKIN INVERTER PCB FOR AIR COND,2600
DAIKIN NON INVERTER PCB FOR AIR COND,1500
WHIRLPOOL GUN PCB FOR AIR COND,2000
WHIRLPOOL SQ RELAY PCB FOR AIR COND,2100
GODREJ KFR 48 PCB FOR AIR COND,1500
TOPBOAD ODU PCB FOR AIR COND,4000
MEGNETT ODU PCB(F50VT) FOR AIR COND,4000
L G ODU PCB FOR AIR COND,3500
SAMSUNG IDU GREEN SMALL PCB FOR AIR COND,1800
SAMSUNG IDU GREEN BIG PCB FOR AIR COND,1900
SAMSUNG 2 CAP PCB FOR AIR COND,2100
HAIER BIG BOX PCB FOR AIR COND,1600
HAIER SMALL BOX PCB FOR AIR COND,1600
GODREJ THIN CAPACITOR  PCB FOR REFRIGERATOR 02839,1600
GODREJ THICK CAPACITOR  PCB FOR REFRIGERATOR 02839,1600
L G INDOOR PCB FOR AIR COND,2000
SAMSUNG F/F FAN PCB ,2200
WHIRLPOOL VTD 1070 PCB FOR REF,2300
WHIRLPOOL VHM 1070 PCB FOR REF,2300
AQUILA PCB FOR AIR COND,2400
FOLLOW ME AC HT PCB FOR AIR COND,1500
FOLLOW ME DC HT PCB FOR AIR COND,1500
HITACHI DC INVERTER PCB FOR AIR COND,2000
HITACHI AC INVERTER PCB FOR AIR COND,1700
HITACHI AC N/M INVERTER PCB FOR AIR COND,1700
VOLTAS WAC PCB FOR AIR COND,1500
MARUTI REFRIGERATION,
MARUTI REFRIGERATION,
LG OLD  MOTOR,0.666666667
VOLTAS OD MOTOR,0.666666667
SAMSUNG OD MOTOR,0.666666667
PANSAONIC OD MOTOR,1
AID OLD MOTOR,2
HITACHI 47 DC OD MOTOR,0.666666667
LG 5 WIRE DC OD MOTOR,0.666666667
PANSAONIC DC OD MOTOR,0.666666667
LG 3 WIRE DC MOTOR,0.666666667
DIKEN DC OD MOTOR,0.666666667
DC OLD MOTOR,0.666666667
